state,abbr,id,rate,accident
Alabama,AL,01,4903185,44625
Alaska,AK,02,731545,10
Arizona,AZ,04,7278717,78584
Arkansas,AR,05,3017825,2012
California,CA,06,39512223,816825
Colorado,CO,08,5758736,49731
Connecticut,CT,09,3565287,25901
Delaware,DE,10,973764,5739
District Of Columbia,DC,11,705749,10
Florida,FL,12,21477737,258002
Georgia,GA,13,10617423,93614
Hawaii,HI,15,1415872,10
Idaho,ID,16,1787065,2044
Illinois,IL,17,12671821,99692
Indiana,IN,18,6732219,33746
Iowa,IA,19,3155070,11475
Kansas,KS,20,2913314,7939
Kentucky,KY,21,4467673,22553
Louisiana,LA,22,4648794,61515
Maine,ME,23,1344212,2243
Maryland,MD,24,6045680,53593
Massachusetts,MA,25,6949503,39044
Michigan,MI,26,9986857,95983
Minnesota,MN,27,5639632,81863
Mississippi,MS,28,2976149,6585
Missouri,MO,29,6137428,33643
Montana,MT,30,1068778,512
Nebraska,NE,31,1934408,23970
Nevada,NV,32,3080156,10643
New Hampshire,NH,33,1359711,7984
New Jersey,NJ,34,8882190,59059
New Mexico,NM,35,2096829,5523
New York,NY,36,19453561,160817
North Carolina,NC,37,10488084,165958
North Dakota,ND,38,762062,44
Ohio,OH,39,11689100,66139
Oklahoma,OK,40,3956971,60003
Oregon,OR,41,4217737,90122
Pennsylvania,PA,42,12801989,106787
Rhode Island,RI,44,1059361,11753
South Carolina,SC,45,5148714,173277
South Dakota,SD,46,762062,61
Tennessee,TN,47,6833174,69895
Texas,TX,48,28995881,329284
Utah,UT,49,3205958,51685
Vermont,VT,50,623989,702
Virginia,VA,51,8535519,96075
Washington,WA,53,7614893,68544
West Virginia,WV,54,1792147,2381
Wisconsin,WI,55,5822434,20120
Wyoming,WY,56,578759,508
