state,abbr,id,rate
Mississippi,MS,28,2976149
Oklahoma,OK,40,3956971
Wyoming,WY,56,578759
Minnesota,MN,27,5639632
Illinois,IL,17,12671821
Arkansas,AR,05,3017825
New Mexico,NM,35,2096829
Ohio,OH,39,11689100
Indiana,IN,18,6732219
Maryland,MD,24,6045680
Louisiana,LA,22,4648794
Texas,TX,48,28995881
Arizona,AZ,04,7278717
Wisconsin,WI,55,5822434
Michigan,MI,26,9986857
Kansas,KS,20,2913314
Utah,UT,49,3205958
Virginia,VA,51,8535519
Oregon,OR,41,4217737
Connecticut,CT,09,3565287
Montana,MT,30,1068778
California,CA,06,39512223
Idaho,ID,16,1787065
West Virginia,WV,54,1792147
South Carolina,SC,45,5148714
New Hampshire,NH,33,1359711
Massachusetts,MA,25,6949503
Vermont,VT,50,623989
Georgia,GA,13,10617423
North Dakota,ND,38,762062
Hawaii,HI,15,1415872
Pennsylvania,PA,42,12801989
Florida,FL,12,21477737
Alaska,AK,02,731545
Kentucky,KY,21,4467673
Tennessee,TN,47,6833174
Nebraska,NE,31,1934408
Missouri,MO,29,6137428
Iowa,IA,19,3155070
Alabama,AL,01,4903185
Rhode Island,RI,44,1059361
South Dakota,SD,46,762062
Colorado,CO,08,5758736
New Jersey,NJ,34,8882190
Washington,WA,53,7614893
North Carolina,NC,37,10488084
New York,NY,36,19453561
Nevada,NV,32,3080156
Delaware,DE,10,973764
Maine,ME,23,1344212
District Of Columbia,DC,11,705749
